unit,department_name,department_description,department_category,unit_description
900,Miscellaneous,Homeland Security,Miscellaneous/Other,Miscellaneous/Other - Homeland Security
902,CPD-Other,Other Police,CPD,CPD - Other Police
911,CPD-Other,Other Police,CPD,CPD - Other Police
915,CPD-Other,Other Police,CPD,CPD - Other Police
921,CPD-Other,Other Police,CPD,CPD - Other Police
922,CPD-Other,Other Police,CPD,CPD - Other Police
924,CPD-Other,Other Police,CPD,CPD - Other Police
925,CPD-Other,Other Police,CPD,CPD - Other Police
927,CPD-Other,Other Police,CPD,CPD - Other Police
931,CPD-Other,Other Police,CPD,CPD - Other Police
933,CPD-Other,Other Police,CPD,CPD - Other Police
935,CPD-Other,Other Police,CPD,CPD - Other Police
968,CPD-Other,Other Police,CPD,CPD - Other Police
990,CPD-Other,Other Police,CPD,CPD - Other Police
1024,CPD-Other,Other Police,CPD,CPD - Other Police
1032,CPD-Other,Other Police,CPD,CPD - Other Police
1111,Miscellaneous,Miscellaneous,Miscellaneous/Other,Miscellaneous/Other - Miscellaneous
1122,CPD-Other,Other Police,CPD,CPD - Other Police
1524,CPD-Other,Other Police,CPD,CPD - Other Police
1611,CPD-Other,Other Police,CPD,CPD - Other Police
1623,CPD-Other,Other Police,CPD,CPD - Other Police
1644,CPD-Other,Other Police,CPD,CPD - Other Police
1702,CPD-Other,Other Police,CPD,CPD - Other Police
1723,CPD-Other,Other Police,CPD,CPD - Other Police
1732,CPD-Other,Other Police,CPD,CPD - Other Police
1733,CPD-Other,Other Police,CPD,CPD - Other Police
2036,CPD-Other,Other Police,CPD,CPD - Other Police
2111,CPD-Other,Other Police,CPD,CPD - Other Police
2123,CPD-Other,Other Police,CPD,CPD - Other Police
2124,CPD-Other,Other Police,CPD,CPD - Other Police
2131,CPD-Other,Other Police,CPD,CPD - Other Police
2142,CPD-Other,Other Police,CPD,CPD - Other Police
2431,CPD-Other,Other Police,CPD,CPD - Other Police
2599,CPD-Other,Other Police,CPD,CPD - Other Police
3452,CPD-Other,Other Police,CPD,CPD - Other Police
3620,CPD-Other,Other Police,CPD,CPD - Other Police
3837,CPD-Other,Other Police,CPD,CPD - Other Police
6054,CPD-Other,Other Police,CPD,CPD - Other Police
6215,Miscellaneous,Cook County Police  ,Miscellaneous/Other,Miscellaneous/Other - Cook County Police  
8489,CPD,CPD,CPD,CPD - CPD
9999,Miscellaneous,Miscellaneous,Miscellaneous/Other,Miscellaneous/Other - Miscellaneous
0TEM,CPD-Other,Other Police,CPD,CPD - Other Police
CTA,CTA,CTA,CTA,CTA - CTA
cta,CTA,CTA,CTA,CTA - CTA
D2,CPD-Other,Other Police,CPD,CPD - Other Police
K52,CPD-Other,Other Police,CPD,CPD - Other Police
pl,CPD-Other,Other Police,CPD,CPD - Other Police
RDFX,Red Light,Red Light,Red light,Red light - Red Light
SPD,Speed,Speed,Speed,Speed - Speed
TEST,CPD-Other,Other Police,CPD,CPD - Other Police
XERX,Red Light,Red Light,Red light,Red light - Red Light
